OBJECTID,AREA,PIN,SUBDIVISIO,LOT,MapAcre,Status,PRICE,LotJoin,LOT_1,MODEL1,MODEL2,MODEL3,MODEL4,MODEL5,MODEL6,MODEL7,MODEL8,MODEL9,MODEL10,MODEL11,MODEL12,MODEL13,MODEL14,MODEL15,MODEL16,MODEL17,MODEL18,MODEL19,MODEL20,MODEL21,MODEL22,MODEL23,AVAILABILI,MODEL_GROU,ET_ID,ET_X,ET_Y,X,Y
28,5511.8159,12S02W14DD11000,Santiam Riverfront Estates,35,0.13,AVAILABLE,,35,35,,0,,,2120C,,0,,0,0,0,,,22138A,0,0,0,0,0,0,22153,0,22162,Coming Soon,Group_25,28,7579155.632,321263.4332,-122.8888284,44.52260138
29,6197.211,12S02W14DD08300,Santiam Riverfront Estates,8,0.14,PENDING,,8,8,,0,,,,,0,2164A,0,2291,0,,22134A,22138A,22140,22143,0,22145,22148,22151,0,22155,,Available,Group_6,29,7579483.088,321276.0701,-122.8875748,44.52266258
30,8109.1505,12S02W14DD10900,Santiam Riverfront Estates,34,0.19,AVAILABLE,,34,34,1103A,0,,2106C,2120C,,0,2164A,0,0,21103,21111A,,22138A,0,0,22144,0,22148,0,22153,0,,Coming Soon,Group_24,30,7579095.963,321254.0925,-122.889056,44.52257093
31,6060.2797,12S02W14DD10800,Santiam Riverfront Estates,33,0.14,AVAILABLE,,33,33,,0,,,2120C,2137BA,0,,2199,0,0,21111A,,,0,0,0,0,0,0,22153,0,22162,Coming Soon,Group_23,31,7579054.778,321312.9696,-122.8892205,44.52272902
32,5493.9183,12S02W14DD11100,Santiam Riverfront Estates,36,0.13,AVAILABLE,,36,36,,0,,2106C,2120C,,0,2164A,0,0,21103,21111A,,22138A,22140,22143,0,0,0,0,22153,0,,Coming Soon,Group_26,32,7579204.661,321300.6791,-122.8886447,44.52270748
33,6152.6691,12S02W14DD11200,Santiam Riverfront Estates,37,0.14,AVAILABLE,,37,37,,0,,2106C,2120C,,0,,0,0,21103,21111A,,22138A,22140,0,22144,22145,22148,0,22153,22155,,Coming Soon,Group_27,33,7579253.989,321367.5644,-122.8884632,44.52289487
34,6368.5336,12S02W14DD10700,Santiam Riverfront Estates,32,0.15,AVAILABLE,,32,32,,0,,2106C,2120C,,0,2164A,2199,0,0,21111A,,22138A,0,0,0,0,22148,0,22153,0,,Coming Soon,Group_22,34,7579027.847,321378.674,-122.8893312,44.52290699
35,7565.5242,12S02W14DD10600,Santiam Riverfront Estates,31,0.17,AVAILABLE,,31,31,1103A,0,,2106C,2120C,,0,2164A,2199,0,0,21111A,,22138A,22140,22143,0,22145,22148,0,22153,0,22162,Coming Soon,Group_21,35,7579050.664,321443.5147,-122.8892511,44.52308662
36,6102.8229,12S02W14DD10400,Santiam Riverfront Estates,29,0.14,AVAILABLE,,29,29,,1146,,2106C,2120C,,0,2164A,0,0,21103,21111A,,22138A,22140,0,22144,22145,22148,0,0,0,,Coming Soon,Group_19,36,7579201.379,321469.2921,-122.8886764,44.52316952
37,5580.5111,12S02W14DD10500,Santiam Riverfront Estates,30,0.13,AVAILABLE,,30,30,,0,,2106C,2120C,,0,2164A,0,0,21103,21111A,,22138A,22140,0,22144,0,22148,0,22153,0,22162,Coming Soon,Group_20,37,7579117.517,321468.7764,-122.8889977,44.52316131
38,6083.8645,12S02W14DD08700,Santiam Riverfront Estates,12,0.14,AVAILABLE,,12,12,,0,1152,,,,0,2164A,0,0,0,,22134A,22138A,22140,22143,0,22145,22148,22151,0,22155,,Coming Soon,Group_7,38,7579366.937,321487.2546,-122.8880439,44.52323219
39,6183.5823,12S02W14DD08800,Santiam Riverfront Estates,13,0.14,AVAILABLE,,13,13,,0,,,,,0,2164A,0,0,0,,22134A,22138A,22140,22143,0,22145,22148,22151,0,22155,,Coming Soon,Group_8,39,7579339.962,321540.8554,-122.8881533,44.52337697
40,6034.9281,12S02W14DD09200,Santiam Riverfront Estates,17,0.14,AVAILABLE,,17,17,,0,,,,,0,2164A,0,0,0,,22134A,22138A,22140,22143,0,22145,22148,22151,0,22155,,Coming Soon,Group_8,40,7579227.944,321753.3301,-122.8886067,44.52395046
41,6592.8277,12S02W14DD09700,Santiam Riverfront Estates,22,0.15,AVAILABLE,,22,22,,0,,,2120C,2137BA,2156,,0,2291,0,21111A,,22138A,0,0,0,0,22148,0,0,22155,22162,Coming Soon,Group_12,41,7579067.083,321765.5521,-122.8892246,44.52397093
42,5838.6961,12S02W14DD09300,Santiam Riverfront Estates,18,0.13,AVAILABLE,,18,18,,0,,,,,0,2164A,0,0,0,,22134A,22138A,22140,22143,0,22145,22148,22151,0,22155,,Coming Soon,Group_8,42,7579199.09,321805.2033,-122.8887232,44.52409035
43,5253.4546,12S02W14DD09400,Santiam Riverfront Estates,19,0.12,AVAILABLE,,19,19,,0,,,,,0,,2199,0,0,21111A,,,22140,22143,0,0,0,22151,0,22155,,Coming Soon,Group_9,43,7579169.014,321856.7189,-122.8888443,44.52422916
44,5037.0795,12S02W14DD09600,Santiam Riverfront Estates,21,0.12,AVAILABLE,,21,21,,0,,,,,0,,0,0,0,,,,0,0,0,0,0,0,0,0,,Coming Soon,Group_11,44,7579070.981,321920.1287,-122.8892272,44.52439507
45,5775.46,12S02W14DD09500,Santiam Riverfront Estates,20,0.13,AVAILABLE,,20,20,,0,,,,2137BA,0,,0,0,0,,,,0,0,0,0,0,0,0,22155,,Coming Soon,Group_10,45,7579136.955,321918.598,-122.8889742,44.52439622
